Category,Value
1,22879
2,21974
3,21249
4,20772
5,21077
6,20812
7,20858
8,20685
9,21712
10,22604
11,23553
12,23711
13,23549
14,23027
15,22487
16,22192
17,22259
18,22613
19,23088
20,24681
21,24607
22,23387
23,21865
24,20655
25,20090
26,19587
27,19455
28,19591
29,20055
30,20746
31,21427
32,22645
33,23904
34,24608
35,24826
36,24414
37,24249
38,24090
39,24213
40,24464
41,24588
42,25267
43,25388
44,26541
45,25743
46,24142
47,22531
48,21138
49,20602
50,20284
51,20015
52,20234
53,20636
54,21319
55,22003
56,23117
57,24169
58,25040
59,25242
60,25390
61,25296
62,25268
63,25037
64,25324
65,25714
66,26417
67,26933
68,27719
69,26836
70,24759
71,23425
72,22463
73,22076
74,21766
75,21560
76,21837
77,22240
78,23131
79,24317
80,25122
81,26206
82,26561
83,26536
84,26400
85,26091
86,25832
87,25768
88,25837
89,25908
90,26159
91,26002
92,27276
93,26704
94,24977
95,23413
96,22452
97,21760
98,21431
99,21160
100,21305
101,21806
102,22080
103,22755
104,23439
105,24584
106,25369
107,25192
108,24831
109,24720
110,24403
111,23880
112,23570
113,23770
114,24392
115,25162
116,26464
117,26086
118,24592
119,23301
120,22170
121,21602
122,21344
123,21061
124,21056
125,21233
126,21549
127,22661
128,23919
129,24830
130,25348
131,25246
132,25204
133,25209
134,24812
135,24117
136,23975
137,24441
138,24959
139,25519
140,26665
141,26137
142,24425
143,22871
144,21896
145,21742
146,21559
147,21514
148,21729
149,22452
150,24155
151,25012
152,25744
153,26802
154,27261
155,27651
156,27474
157,27477
158,27447
159,27293
160,27571
161,27837
162,27697
163,28454
164,29786
165,28672
166,26651
167,24837
168,23517
169,22722
170,22223
171,22061
172,22306
173,23079
174,24736
175,25944
176,26671
177,27162
178,27236
179,27568
180,27528
181,27414
182,27286
183,27597
184,27903
185,28326
186,28738
187,28917
188,29822
189,28986
190,26305
191,24168
192,22967
193,22542
194,22335
195,22209
196,22344
197,23465
198,26791
199,27421
200,26217
201,26413
202,26676
203,26880
204,27013
205,26723
206,26692
207,26808
208,27119
209,27214
210,27443
211,28028
212,29877
213,29394
214,27243
215,24954
216,23596
217,22886
218,22425
219,22157
220,22328
221,23544
222,26482
223,27376
224,26385
225,26779
226,27097
227,27032
228,26764
229,26860
230,26592
231,26769
232,26908
233,27216
234,27814
235,27809
236,29393
237,28733
238,26601
239,24674
240,23417
241,23373
242,23353
243,23170
244,23237
245,24435
246,27319
247,27994
248,27102
249,27681
250,27679
251,27570
252,27436
253,27162
254,26698
255,26788
256,26555
257,26872
258,26858
259,27229
260,28317
261,28036
262,26539
263,24866
264,23240
265,22592
266,22399
267,22235
268,22603
269,23077
270,23634
271,24511
272,25417
273,26394
274,26733
275,26588
276,26220
277,26001
278,25352
279,24860
280,24733
281,24918
282,25273
283,26216
284,28060
285,27842
286,25864
287,24419
288,23411
289,22840
290,22505
291,22357
292,22286
293,22460
294,22629
295,23454
296,24928
297,25745
298,25849
299,25358
300,25247
301,25024
302,24616
303,24126
304,24054
305,24317
306,25058
307,26145
308,27806
309,27890
310,25868
311,24088
312,22976
313,22422
314,22360
315,22228
316,22594
317,23573
318,26998
319,27784
320,27302
321,28308
322,28687
323,28819
324,29007
325,28705
326,28660
327,28831
328,28967
329,28967
330,28759
331,29178
332,30694
333,29747
334,27600
335,25590
336,24218
337,23658
338,23747
339,23708
340,24018
341,24917
342,27872
343,28290
344,27472
345,27953
346,28035
347,28326
348,28578
349,28374
