Category,Value
2019/01/01 00:00,22879
2019/01/01 01:00,21974
2019/01/01 02:00,21249
2019/01/01 03:00,20772
2019/01/01 04:00,21077
2019/01/01 05:00,20812
2019/01/01 06:00,20858
2019/01/01 07:00,20685
2019/01/01 08:00,21712
2019/01/01 09:00,22604
2019/01/01 10:00,23553
2019/01/01 11:00,23711
2019/01/01 12:00,23549
2019/01/01 13:00,23027
2019/01/01 14:00,22487
2019/01/01 15:00,22192
2019/01/01 16:00,22259
2019/01/01 17:00,22613
2019/01/01 18:00,23088
2019/01/01 19:00,24681
2019/01/01 20:00,24607
2019/01/01 21:00,23387
2019/01/01 22:00,21865
2019/01/01 23:00,20655
2019/01/02 00:00,20090
2019/01/02 01:00,19587
2019/01/02 02:00,19455
2019/01/02 03:00,19591
2019/01/02 04:00,20055
2019/01/02 05:00,20746
2019/01/02 06:00,21427
2019/01/02 07:00,22645
2019/01/02 08:00,23904
2019/01/02 09:00,24608
2019/01/02 10:00,24826
2019/01/02 11:00,24414
2019/01/02 12:00,24249
2019/01/02 13:00,24090
2019/01/02 14:00,24213
2019/01/02 15:00,24464
2019/01/02 16:00,24588
2019/01/02 17:00,25267
2019/01/02 18:00,25388
2019/01/02 19:00,26541
2019/01/02 20:00,25743
2019/01/02 21:00,24142
2019/01/02 22:00,22531
2019/01/02 23:00,21138
2019/01/03 00:00,20602
2019/01/03 01:00,20284
2019/01/03 02:00,20015
2019/01/03 03:00,20234
2019/01/03 04:00,20636
2019/01/03 05:00,21319
2019/01/03 06:00,22003
2019/01/03 07:00,23117
2019/01/03 08:00,24169
2019/01/03 09:00,25040
2019/01/03 10:00,25242
2019/01/03 11:00,25390
2019/01/03 12:00,25296
2019/01/03 13:00,25268
2019/01/03 14:00,25037
2019/01/03 15:00,25324
2019/01/03 16:00,25714
2019/01/03 17:00,26417
2019/01/03 18:00,26933
2019/01/03 19:00,27719
2019/01/03 20:00,26836
2019/01/03 21:00,24759
2019/01/03 22:00,23425
2019/01/03 23:00,22463
2019/01/04 00:00,22076
2019/01/04 01:00,21766
2019/01/04 02:00,21560
2019/01/04 03:00,21837
2019/01/04 04:00,22240
2019/01/04 05:00,23131
2019/01/04 06:00,24317
2019/01/04 07:00,25122
2019/01/04 08:00,26206
2019/01/04 09:00,26561
2019/01/04 10:00,26536
2019/01/04 11:00,26400
2019/01/04 12:00,26091
2019/01/04 13:00,25832
2019/01/04 14:00,25768
2019/01/04 15:00,25837
2019/01/04 16:00,25908
2019/01/04 17:00,26159
2019/01/04 18:00,26002
2019/01/04 19:00,27276
2019/01/04 20:00,26704
2019/01/04 21:00,24977
2019/01/04 22:00,23413
2019/01/04 23:00,22452
2019/01/05 00:00,21760
2019/01/05 01:00,21431
2019/01/05 02:00,21160
2019/01/05 03:00,21305
2019/01/05 04:00,21806
2019/01/05 05:00,22080
2019/01/05 06:00,22755
2019/01/05 07:00,23439
2019/01/05 08:00,24584
2019/01/05 09:00,25369
2019/01/05 10:00,25192
2019/01/05 11:00,24831
2019/01/05 12:00,24720
2019/01/05 13:00,24403
2019/01/05 14:00,23880
2019/01/05 15:00,23570
2019/01/05 16:00,23770
2019/01/05 17:00,24392
2019/01/05 18:00,25162
2019/01/05 19:00,26464
2019/01/05 20:00,26086
2019/01/05 21:00,24592
2019/01/05 22:00,23301
2019/01/05 23:00,22170
2019/01/06 00:00,21602
2019/01/06 01:00,21344
2019/01/06 02:00,21061
2019/01/06 03:00,21056
2019/01/06 04:00,21233
2019/01/06 05:00,21549
2019/01/06 06:00,22661
2019/01/06 07:00,23919
2019/01/06 08:00,24830
2019/01/06 09:00,25348
2019/01/06 10:00,25246
2019/01/06 11:00,25204
2019/01/06 12:00,25209
2019/01/06 13:00,24812
2019/01/06 14:00,24117
2019/01/06 15:00,23975
2019/01/06 16:00,24441
2019/01/06 17:00,24959
2019/01/06 18:00,25519
2019/01/06 19:00,26665
2019/01/06 20:00,26137
2019/01/06 21:00,24425
2019/01/06 22:00,22871
2019/01/06 23:00,21896
2019/01/07 00:00,21742
2019/01/07 01:00,21559
2019/01/07 02:00,21514
2019/01/07 03:00,21729
2019/01/07 04:00,22452
2019/01/07 05:00,24155
2019/01/07 06:00,25012
2019/01/07 07:00,25744
2019/01/07 08:00,26802
2019/01/07 09:00,27261
2019/01/07 10:00,27651
2019/01/07 11:00,27474
2019/01/07 12:00,27477
2019/01/07 13:00,27447
2019/01/07 14:00,27293
2019/01/07 15:00,27571
